gene	family	Phylostratum
at1g03370	HOM001498	LandPlants
at1g03380	HOM001652	LandPlants
at1g03390	HOM000062	LandPlants
at1g03400	HOM000011	GreenPlants
at1g03410	HOM000011	GreenPlants
at1g03430	HOM000517	GreenPlants
at1g03440	HOM000002	GreenPlants
at1g03445	HOM000094	GreenPlants
at1g03457	HOM001422	GreenPlants
at1g03470	HOM000841	VascularPlants
at1g03475	HOM003202	GreenPlants
at1g03490	HOM012956	Arabidopsis
at1g03495	HOM000260	Angiosperms
at1g03510	HOM000001	GreenPlants
at1g03520	HOM000349	LandPlants
at1g03530	HOM004615	LandPlants
at1g03540	HOM000001	GreenPlants
at1g03550	HOM000839	GreenPlants
at1g03560	HOM000003	GreenPlants
at1g03590	HOM000300	GreenPlants
at1g03600	HOM005543	GreenPlants
at1g03610	HOM000665	GreenPlants
at1g03620	HOM000962	GreenPlants
at1g03630	HOM002259	GreenPlants
at1g03650	HOM005759	GreenPlants
at1g03660	HOM000067	GreenPlants
at1g03670	HOM000067	GreenPlants
at1g03680	HOM000112	GreenPlants
at1g03687	HOM006920	VascularPlants
at1g03700	HOM000510	GreenPlants
at1g03710	HOM003414	Arabidopsis
at1g03720	HOM007856	Arabidopsis
at1g03730	HOM006151	Angiosperms
at1g03740	HOM000019	GreenPlants
at1g03750	HOM000101	GreenPlants
at1g03760	HOM006787	GreenPlants
at1g03770	HOM002005	GreenPlants
at1g03780	HOM003449	GreenPlants
at1g03790	HOM000398	GreenPlants
at1g03800	HOM000010	GreenPlants
at1g03810	HOM001071	GreenPlants
at1g03820	HOM023029	Arabidopsis
at1g03830	HOM001996	GreenPlants
at1g03840	HOM000150	GreenPlants
at1g03850	HOM000149	GreenPlants
at1g03860	HOM001034	GreenPlants
at1g03870	HOM000419	Angiosperms
at1g03880	HOM000905	VascularPlants
at1g03890	HOM000905	VascularPlants
at1g03900	HOM002391	GreenPlants
at1g03905	HOM001833	GreenPlants
at1g03910	HOM002578	GreenPlants
at1g03920	HOM000076	GreenPlants
at1g03930	HOM000187	GreenPlants
at1g03940	HOM000260	Angiosperms
at1g03950	HOM000593	GreenPlants
at1g03960	HOM001432	GreenPlants
at1g03970	HOM000357	LandPlants
at1g03980	HOM002940	GreenPlants
at1g03982	HOM001247	LandPlants
at1g03990	HOM001131	LandPlants
at1g04000	HOM002386	Angiosperms
at1g04010	HOM005269	LandPlants
at1g04020	HOM002223	GreenPlants
at1g04030	HOM000797	GreenPlants
at1g04040	HOM000504	GreenPlants
at1g04050	HOM001517	LandPlants
at1g04070	HOM002749	GreenPlants
at1g04080	HOM000617	GreenPlants
at1g04090	HOM000617	GreenPlants
at1g04100	HOM000131	LandPlants
at1g04110	HOM000020	GreenPlants
at1g04120	HOM000121	GreenPlants
at1g04130	HOM006025	GreenPlants
at1g04140	HOM002496	GreenPlants
at1g04150	HOM000234	GreenPlants
at1g04160	HOM000106	GreenPlants
at1g04170	HOM002998	GreenPlants
at1g04171	HOM038364	AT
at1g04180	HOM000351	GreenPlants
at1g04190	HOM006209	VascularPlants
at1g04200	HOM004755	GreenPlants
at1g04210	HOM004746	VascularPlants
at1g04220	HOM000134	GreenPlants
at1g04230	HOM003735	GreenPlants
at1g04240	HOM000131	LandPlants
at1g04250	HOM000131	LandPlants
at1g04260	HOM000472	GreenPlants
at1g04270	HOM000758	GreenPlants
at1g04280	HOM000758	GreenPlants
at1g04290	HOM001058	GreenPlants
at1g04300	HOM002046	GreenPlants
at1g04310	HOM000658	GreenPlants
at1g04330	HOM027015	Arabidopsis
at1g04340	HOM001132	GreenPlants
at1g04350	HOM000011	GreenPlants
at1g04360	HOM000013	GreenPlants
at1g04370	HOM000010	GreenPlants
at1g04380	HOM000011	GreenPlants
at1g04390	HOM003000	LandPlants
at1g04400	HOM001082	GreenPlants
at1g04410	HOM001021	GreenPlants
at1g04420	HOM001779	GreenPlants
at1g04430	HOM000110	LandPlants
at1g04440	HOM000187	GreenPlants
at1g04445	HOM026551	Arabidopsis
at1g04450	HOM001247	LandPlants
at1g04470	HOM000719	GreenPlants
at1g04480	HOM001177	GreenPlants
at1g04490	HOM005657	Angiosperms
at1g04500	HOM000851	GreenPlants
at1g04501	HOM048611	AT
at1g04510	HOM003141	GreenPlants
at1g04520	HOM000807	VascularPlants
at1g04530	HOM000577	LandPlants
at1g04540	HOM001303	LandPlants
at1g04550	HOM000131	LandPlants
at1g04555	HOM005514	Angiosperms
at1g04560	HOM001137	LandPlants
at1g04570	HOM000288	GreenPlants
at1g04580	HOM000717	GreenPlants
at1g04590	HOM001557	LandPlants
at1g04600	HOM000106	GreenPlants
at1g04610	HOM000351	GreenPlants
at1g04620	HOM002045	GreenPlants
at1g04625	HOM000070	LandPlants
at1g04630	HOM003875	GreenPlants
at1g04635	HOM004182	GreenPlants
at1g04640	HOM001004	GreenPlants
at1g04645	HOM000686	LandPlants
at1g04650	HOM005925	LandPlants
at1g04660	HOM027164	Arabidopsis
at1g04670	HOM013688	Rosids
at1g04680	HOM000163	LandPlants
at1g04684	HOM065097	AT
at1g04690	HOM000250	GreenPlants
at1g04700	HOM000027	GreenPlants
at1g04710	HOM000791	GreenPlants
at1g04730	HOM002193	GreenPlants
at1g04750	HOM000380	GreenPlants
at1g04760	HOM000380	GreenPlants
at1g04770	HOM000831	LandPlants
at1g04778	HOM112249	AT
at1g04780	HOM000872	LandPlants
at1g04790	HOM006944	LandPlants
at1g04800	HOM120735	AT
at1g04810	HOM002335	GreenPlants
at1g04820	HOM000128	GreenPlants
at1g04830	HOM002066	GreenPlants
at1g04840	HOM000001	GreenPlants
at1g04850	HOM002767	GreenPlants
at1g04860	HOM002350	Angiosperms
at1g04870	HOM000402	GreenPlants
at1g04880	HOM001761	GreenPlants
at1g04890	HOM004204	Eudicots
at1g04900	HOM004699	GreenPlants
at1g04910	HOM000088	GreenPlants
at1g04920	HOM000910	GreenPlants
at1g04930	HOM006286	LandPlants
at1g04940	HOM001477	GreenPlants
at1g04945	HOM003727	GreenPlants
at1g04950	HOM002555	GreenPlants
at1g04960	HOM001225	GreenPlants
at1g04970	HOM002248	LandPlants
at1g04980	HOM001616	GreenPlants
at1g04985	HOM000627	GreenPlants
at1g04990	HOM000396	GreenPlants
at1g05000	HOM001307	LandPlants
at1g05010	HOM000011	GreenPlants
at1g05020	HOM000251	GreenPlants
at1g05030	HOM000040	GreenPlants
at1g05040	HOM020845	Arabidopsis
at1g05055	HOM005033	GreenPlants
at1g05060	HOM002889	LandPlants
at1g05065	HOM023044	Arabidopsis
at1g05070	HOM001492	Angiosperms
at1g05080	HOM000115	GreenPlants
at1g05085	HOM054787	AT
at1g05090	HOM016158	Arabidopsis
at1g05100	HOM000043	GreenPlants
at1g05120	HOM000502	GreenPlants
at1g05136	HOM071372	AT
at1g05140	HOM002733	GreenPlants
at1g05150	HOM004029	LandPlants
at1g05160	HOM000072	GreenPlants
at1g05170	HOM000329	GreenPlants
at1g05180	HOM003837	GreenPlants
at1g05190	HOM002237	GreenPlants
at1g05200	HOM000116	GreenPlants
at1g05205	HOM005681	GreenPlants
at1g05210	HOM002888	GreenPlants
at1g05220	HOM002888	GreenPlants
at1g05230	HOM000230	LandPlants
at1g05240	HOM000012	LandPlants
at1g05250	HOM000012	LandPlants
at1g05260	HOM000012	LandPlants
at1g05270	HOM003199	GreenPlants
at1g05280	HOM000407	LandPlants
at1g05290	HOM020958	Arabidopsis
at1g05291	HOM002135	Angiosperms
at1g05300	HOM000378	GreenPlants
at1g05310	HOM000034	GreenPlants
at1g05320	HOM006059	Angiosperms
at1g05330	HOM022006	Arabidopsis
at1g05340	HOM023037	Arabidopsis
at1g05350	HOM005668	GreenPlants
at1g05360	HOM002924	GreenPlants
at1g05370	HOM004749	LandPlants
at1g05380	HOM000339	GreenPlants
at1g05385	HOM006104	GreenPlants
at1g05400	HOM015411	Arabidopsis
at1g05410	HOM004526	LandPlants
at1g05420	HOM001038	VascularPlants
at1g05430	HOM019590	Arabidopsis
at1g05440	HOM006028	VascularPlants
at1g05450	HOM001269	GreenPlants
at1g05460	HOM000104	GreenPlants
at1g05470	HOM000275	GreenPlants
at1g05490	HOM000538	GreenPlants
at1g05500	HOM000452	GreenPlants
at1g05510	HOM000031	GreenPlants
at1g05520	HOM000880	GreenPlants
at1g05530	HOM000023	GreenPlants
at1g05540	HOM001404	Arabidopsis
at1g05550	HOM001404	Arabidopsis
at1g05560	HOM000023	GreenPlants
at1g05570	HOM000178	GreenPlants
at1g05575	HOM004110	Angiosperms
at1g05577	HOM000796	LandPlants
at1g05580	HOM000133	GreenPlants
at1g05590	HOM001145	GreenPlants
at1g05600	HOM000003	GreenPlants
at1g05610	HOM000571	GreenPlants
at1g05615	HOM009459	Arabidopsis
at1g05620	HOM000654	GreenPlants
at1g05630	HOM001963	GreenPlants
at1g05640	HOM000067	GreenPlants
at1g05650	HOM000070	LandPlants
at1g05660	HOM000070	LandPlants
at1g05670	HOM000003	GreenPlants
at1g05675	HOM000023	GreenPlants
at1g05680	HOM000023	GreenPlants
at1g05690	HOM001481	LandPlants
at1g05700	HOM000017	GreenPlants
at1g05710	HOM000356	VascularPlants
at1g05720	HOM005914	GreenPlants
at1g05730	HOM004281	LandPlants
at1g05740	HOM004281	LandPlants
at1g05750	HOM000001	GreenPlants
at1g05760	HOM007691	Rosids
at1g05770	HOM007691	Rosids
at1g05780	HOM006181	LandPlants
at1g05785	HOM000292	GreenPlants
at1g05790	HOM002808	LandPlants
at1g05800	HOM000236	GreenPlants
at1g05805	HOM000075	LandPlants
at1g05810	HOM000032	GreenPlants
at1g05820	HOM001115	GreenPlants
at1g05830	HOM000365	GreenPlants
at1g05835	HOM000038	LandPlants
at1g05840	HOM000037	GreenPlants
at1g05850	HOM000272	LandPlants
at1g05860	HOM002812	GreenPlants
at1g05870	HOM000995	VascularPlants
at1g05880	HOM000466	GreenPlants
at1g05890	HOM000466	GreenPlants
at1g05894	HOM007873	Eudicots
at1g05900	HOM003827	GreenPlants
at1g05910	HOM000025	GreenPlants
at1g05920	HOM002392	Rosids
at1g05925	HOM071387	AT
at1g05930	HOM002392	Rosids
at1g05940	HOM000278	GreenPlants
at1g05950	HOM002798	Angiosperms
at1g05960	HOM000977	LandPlants
at1g05970	HOM003896	LandPlants
at1g05990	HOM000014	GreenPlants
at1g06000	HOM000016	LandPlants
at1g06010	HOM006621	Angiosperms
at1g06020	HOM000564	GreenPlants
at1g06030	HOM000564	GreenPlants
at1g06040	HOM000249	GreenPlants
at1g06050	HOM000474	GreenPlants
at1g06060	HOM001094	LandPlants
at1g06070	HOM000279	GreenPlants
at1g06080	HOM001280	GreenPlants
at1g06090	HOM001280	GreenPlants
at1g06100	HOM001280	GreenPlants
at1g06110	HOM005092	GreenPlants
at1g06120	HOM001280	GreenPlants
at1g06130	HOM001544	GreenPlants
at1g06135	HOM010159	Arabidopsis
at1g06137	HOM010159	Arabidopsis
at1g06140	HOM000001	GreenPlants
at1g06148	HOM060969	AT
at1g06149	HOM029418	Arabidopsis
at1g06150	HOM000001	GreenPlants
at1g06160	HOM000010	GreenPlants
at1g06170	HOM002413	LandPlants
at1g06180	HOM000007	GreenPlants
at1g06190	HOM001896	GreenPlants
at1g06200	HOM004192	GreenPlants
at1g06210	HOM000513	GreenPlants
at1g06220	HOM000734	GreenPlants
at1g06225	HOM013238	Arabidopsis
at1g06230	HOM000227	GreenPlants
at1g06240	HOM002164	GreenPlants
at1g06250	HOM000236	GreenPlants
at1g06260	HOM000058	GreenPlants
at1g06270	HOM006578	Eudicots
at1g06280	HOM000098	LandPlants
at1g06290	HOM000532	GreenPlants
at1g06310	HOM000532	GreenPlants
at1g06320	HOM005104	Angiosperms
at1g06330	HOM000146	GreenPlants
at1g06340	HOM000757	VascularPlants
at1g06350	HOM001280	GreenPlants
at1g06360	HOM001280	GreenPlants
at1g06380	HOM003432	GreenPlants
at1g06390	HOM000019	GreenPlants
at1g06400	HOM000032	GreenPlants
at1g06410	HOM000336	GreenPlants
at1g06420	HOM027145	Arabidopsis
at1g06430	HOM000025	GreenPlants
at1g06440	HOM000264	LandPlants
at1g06450	HOM000310	GreenPlants
at1g06460	HOM007773	LandPlants
at1g06470	HOM003258	GreenPlants
at1g06475	HOM006199	Angiosperms
at1g06490	HOM000178	GreenPlants
at1g06500	HOM007506	LandPlants
at1g06510	HOM006505	LandPlants
at1g06515	HOM006007	Angiosperms
at1g06520	HOM000384	LandPlants
at1g06530	HOM006284	Rosids
at1g06540	HOM014040	Arabidopsis
at1g06550	HOM000512	GreenPlants
at1g06560	HOM005032	GreenPlants
at1g06570	HOM002693	GreenPlants
at1g06580	HOM000003	GreenPlants
at1g06590	HOM004932	GreenPlants
at1g06620	HOM000011	GreenPlants
at1g06630	HOM000206	Eudicots
at1g06640	HOM000011	GreenPlants
at1g06645	HOM000011	GreenPlants
at1g06650	HOM000011	GreenPlants
at1g06660	HOM003355	VascularPlants
at1g06670	HOM000130	GreenPlants
at1g06680	HOM003348	GreenPlants
at1g06690	HOM000250	GreenPlants
at1g06700	HOM000004	GreenPlants
at1g06710	HOM000003	GreenPlants
at1g06720	HOM004186	GreenPlants
at1g06730	HOM005853	GreenPlants
at1g06750	HOM000758	GreenPlants
at1g06760	HOM000640	GreenPlants
at1g06770	HOM000904	GreenPlants
at1g06780	HOM000188	GreenPlants
at1g06790	HOM002915	GreenPlants
at1g06800	HOM000236	GreenPlants
at1g06810	HOM015411	Arabidopsis
at1g06820	HOM004538	GreenPlants
at1g06830	HOM000149	GreenPlants
at1g06840	HOM000017	GreenPlants
at1g06850	HOM000279	GreenPlants
at1g06870	HOM001055	GreenPlants
at1g06890	HOM000490	GreenPlants
at1g06900	HOM000984	GreenPlants
at1g06910	HOM020706	Arabidopsis
at1g06920	HOM000305	LandPlants
at1g06923	HOM004529	Angiosperms
at1g06925	HOM000672	LandPlants
at1g06930	HOM023045	Arabidopsis
at1g06950	HOM003444	GreenPlants
at1g06960	HOM002061	GreenPlants
at1g06970	HOM000133	GreenPlants
at1g06980	HOM001651	Angiosperms
at1g06990	HOM000029	LandPlants
at1g07000	HOM000135	GreenPlants
at1g07010	HOM000034	GreenPlants
at1g07020	HOM004693	Angiosperms
at1g07025	HOM000087	GreenPlants
at1g07030	HOM000087	GreenPlants
at1g07040	HOM003161	GreenPlants
at1g07050	HOM000809	GreenPlants
at1g07060	HOM006592	Angiosperms
at1g07070	HOM000429	GreenPlants
at1g07080	HOM001387	LandPlants
at1g07090	HOM000394	LandPlants
at1g07110	HOM002485	GreenPlants
at1g07120	HOM000174	GreenPlants
at1g07130	HOM006464	GreenPlants
at1g07135	HOM026002	Arabidopsis
at1g07140	HOM000624	GreenPlants
at1g07150	HOM000043	GreenPlants
at1g07160	HOM000061	GreenPlants
at1g07170	HOM000002	GreenPlants
at1g07175	HOM008633	Eudicots
at1g07180	HOM000229	GreenPlants
at1g07190	HOM001276	GreenPlants
at1g07200	HOM002408	Angiosperms
at1g07210	HOM004631	GreenPlants
at1g07220	HOM000616	GreenPlants
at1g07230	HOM001075	LandPlants
at1g07240	HOM000016	LandPlants
at1g07250	HOM000016	LandPlants
at1g07260	HOM000016	LandPlants
at1g07270	HOM003796	GreenPlants
at1g07280	HOM000577	LandPlants
at1g07290	HOM001499	GreenPlants
at1g07300	HOM004675	GreenPlants
at1g07310	HOM002515	LandPlants
at1g07320	HOM003999	GreenPlants
at1g07330	HOM002912	Angiosperms
at1g07340	HOM000040	GreenPlants
at1g07350	HOM001621	GreenPlants
at1g07360	HOM002489	GreenPlants
at1g07370	HOM000957	GreenPlants
at1g07380	HOM001863	GreenPlants
at1g07390	HOM000022	LandPlants
at1g07400	HOM000139	GreenPlants
at1g07410	HOM000032	GreenPlants
at1g07420	HOM001251	GreenPlants
at1g07430	HOM000061	GreenPlants
at1g07440	HOM000192	GreenPlants
at1g07450	HOM000192	GreenPlants
at1g07460	HOM000041	GreenPlants
at1g07470	HOM003204	GreenPlants
at1g07473	HOM014131	Arabidopsis
at1g07476	HOM014131	Arabidopsis
at1g07480	HOM003204	GreenPlants
at1g07485	HOM030122	Arabidopsis
at1g07490	HOM001159	Angiosperms
at1g07500	HOM050684	AT
at1g07510	HOM000025	GreenPlants
at1g07520	HOM000042	GreenPlants
at1g07530	HOM000042	GreenPlants
at1g07540	HOM001587	LandPlants
at1g07550	HOM000017	GreenPlants
at1g07560	HOM000017	GreenPlants
at1g07570	HOM000004	GreenPlants
at1g07590	HOM000199	GreenPlants
at1g07600	HOM122913	AT
at1g07610	HOM104155	AT
at1g07615	HOM001176	GreenPlants
at1g07620	HOM004680	Eudicots
at1g07630	HOM000712	LandPlants
at1g07640	HOM000099	GreenPlants
at1g07645	HOM006373	Angiosperms
at1g07650	HOM000073	GreenPlants
at1g07660	HOM000364	GreenPlants
at1g07670	HOM000136	GreenPlants
at1g07680	HOM025321	Arabidopsis
at1g07690	HOM011823	Arabidopsis
at1g07700	HOM004870	GreenPlants
at1g07705	HOM002533	GreenPlants
at1g07710	HOM000067	GreenPlants
at1g07720	HOM000134	GreenPlants
at1g07725	HOM000135	GreenPlants
at1g07730	HOM000451	GreenPlants
at1g07740	HOM000003	GreenPlants
at1g07745	HOM005510	GreenPlants
at1g07747	HOM000779	Angiosperms
at1g07750	HOM001289	VascularPlants
at1g07770	HOM000586	GreenPlants
at1g07780	HOM004425	GreenPlants
at1g07790	HOM000269	GreenPlants
at1g07795	HOM004414	LandPlants
at1g07810	HOM000136	GreenPlants
at1g07820	HOM000364	GreenPlants
at1g07830	HOM000491	GreenPlants
at1g07840	HOM003709	GreenPlants
at1g07850	HOM000407	LandPlants
at1g07860	HOM028921	Arabidopsis
at1g07870	HOM000004	GreenPlants
at1g07880	HOM000019	GreenPlants
at1g07885	HOM060965	AT
at1g07890	HOM000453	GreenPlants
at1g07900	HOM000098	LandPlants
at1g07901	HOM034297	AT
at1g07910	HOM003303	LandPlants
at1g07920	HOM000248	GreenPlants
at1g07930	HOM000248	GreenPlants
at1g07940	HOM000248	GreenPlants
at1g07950	HOM001945	GreenPlants
at1g07960	HOM001616	GreenPlants
at1g07970	HOM006596	LandPlants
at1g07980	HOM006675	LandPlants
at1g07985	HOM007029	Eudicots
at1g07990	HOM000900	GreenPlants
at1g08000	HOM000164	GreenPlants
at1g08005	HOM000900	GreenPlants
at1g08010	HOM000164	GreenPlants
at1g08030	HOM004845	GreenPlants
at1g08032	HOM038388	AT
